user_id,username,email,signup_date,last_login,activity_score,is_active
40c2e94f-38aa-4fc8-b087-52ebe536f3cf,dodsonnathan,davidgregory@yahoo.com,2023-11-06,2024-04-29,36.36,False
9c4348b0-d387-42fc-8bed-a5c398af7850,fosterjoseph,danielleclark@hotmail.com,2024-04-10,2025-03-20,6.63,True
5391c907-ed03-48cd-813f-e47f107d4040,mortiz,shawnchapman@lee.com,2023-10-23,2024-09-29,30.92,False
1cd305d3-b764-4a77-a4ea-c70c88d0691d,anthonyhudson,ashleypope@yahoo.com,2023-11-13,2024-03-16,15.38,False
916c6ba5-5c86-48bb-86fe-f24b8b81aca4,hickspaul,christopher45@williams-anderson.com,2023-12-16,2024-05-29,54.73,False
4cfd4a60-86db-44c2-b5b8-56494cae4f25,barrerasteven,robert82@hotmail.com,2023-09-17,2023-12-10,23.59,True
300943cc-5ebe-40e4-97a1-07b14ee376d1,uyoung,sstout@hotmail.com,2023-06-06,2024-05-22,16.26,True
6aff2d5c-0436-456b-90fd-0f444a6b6238,thomas76,wrightsean@gmail.com,2023-10-25,2024-10-07,16.97,False
a9e09aad-31c6-4605-9d72-f490107ab11d,aperry,ctran@yahoo.com,2023-08-20,2024-05-09,45.91,False
045fe624-7d23-47e8-b3e4-9ae3a9c01f45,wlarsen,fmedina@hotmail.com,2023-07-17,2023-09-10,44.69,True
41a56e55-bd53-4831-968f-7dd673be27cc,mcguiresavannah,alexandria38@warren.org,2024-01-13,2024-07-07,90.07,True
58e0f387-ead9-4f79-9ec3-b8b1e262241d,bairdjoy,orios@cunningham.com,2023-08-05,2024-02-10,85.91,True
c6c44f46-b5c5-4071-a879-d7171a4d98bc,martin52,petersbrandon@flores.com,2023-04-29,2024-04-16,45.96,False
b1503124-4eb7-4a6e-9582-48b292519f64,callahanwilliam,scott18@parker.org,2023-10-28,2024-05-31,88.76,True
03923145-2a02-48e2-b4cf-4d332d95b93f,timothy02,djackson@gmail.com,2023-06-30,2023-09-02,93.42,True
